"","ref_date","GEO","DGUID","New.housing.price.indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS","full_date","yr"
"1","1981-01","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,36.1,"",NA,NA,1,1981-01-01,1981
"2","1981-02","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,36.5,"",NA,NA,1,1981-02-01,1981
"3","1981-03","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,37.3,"",NA,NA,1,1981-03-01,1981
"4","1981-04","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,38.1,"",NA,NA,1,1981-04-01,1981
"5","1981-05","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,38.9,"",NA,NA,1,1981-05-01,1981
"6","1981-06","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,39.1,"",NA,NA,1,1981-06-01,1981
"7","1981-07","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,39.2,"",NA,NA,1,1981-07-01,1981
"8","1981-08","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,39,"",NA,NA,1,1981-08-01,1981
"9","1981-09","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,39,"",NA,NA,1,1981-09-01,1981
"10","1981-10","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,38.8,"",NA,NA,1,1981-10-01,1981
"11","1981-11","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,38.8,"",NA,NA,1,1981-11-01,1981
"12","1981-12","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,38.9,"",NA,NA,1,1981-12-01,1981
