"","ref_date","GEO","DGUID","New.housing.price.indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS","full_date","yr"
"38","1984-02","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,37.4,"",NA,NA,1,1984-02-01,1984
"39","1984-03","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,37.5,"",NA,NA,1,1984-03-01,1984
"40","1984-04","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,37.6,"",NA,NA,1,1984-04-01,1984
"41","1984-05","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,37.6,"",NA,NA,1,1984-05-01,1984
"42","1984-06","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,37.4,"",NA,NA,1,1984-06-01,1984
"43","1984-07","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,37.4,"",NA,NA,1,1984-07-01,1984
"44","1984-08","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,37.3,"",NA,NA,1,1984-08-01,1984
"45","1984-09","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,37.2,"",NA,NA,1,1984-09-01,1984
"46","1984-10","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,37.2,"",NA,NA,1,1984-10-01,1984
"47","1984-11","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,37.2,"",NA,NA,1,1984-11-01,1984
"48","1984-12","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,37.3,"",NA,NA,1,1984-12-01,1984
"49","1985-01","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,37.4,"",NA,NA,1,1985-01-01,1985
"50","1985-02","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,37.4,"",NA,NA,1,1985-02-01,1985
"51","1985-03","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,37.5,"",NA,NA,1,1985-03-01,1985
"52","1985-04","Canada","2016A000011124","House only","Index, 201612=100",347,"units",0,"v111955443",1.2,37.5,"",NA,NA,1,1985-04-01,1985
